Total Debts to Total Capital,Price to Book Ratio,Price Earnings Ratio (P/E),Total Assets Growth Rate,Revenue Growth Rate,Return on Common Equity,Return on Assets,Gross Margin
3.7685267335648835,1.706172032692588,3.354104579998602,0.023566492870365635,0.017429848956326693,49.624679578125,7.9559707692307695,33.78126612903226
3.7503982587924325,1.686015405958421,3.2548926817067563,0.010422535099253583,-0.007249545817495095,52.696847843749964,8.167114584615383,33.637698387096776
3.75190421179629,1.668646282921927,3.1335802044933527,0.007593814164012435,0.0733935703151775,47.49508960937496,8.6519712,34.29437580645161
3.741500917123561,1.718802807796153,3.083926781863724,0.012022361624123512,-0.0003466485873932751,44.81924129687496,8.862613292307692,33.69996984126984
3.8379771995087175,1.594944873511089,2.847146549452753,0.010198953008317227,-0.00018636350234835976,43.961771890624966,9.16820393846154,33.33844761904762
3.7432161127944137,1.703251579557513,2.973438780124203,0.044208494412636856,-0.028111736617138925,45.34028132812495,9.087901784615385,32.938926153846154
3.7402189356228295,1.6961882770733059,3.005879341272045,0.022809062149741894,0.04564455048665561,48.524033234374954,8.895722523076923,33.10582307692307
3.7448567387541063,1.7221267851047024,3.029016575836603,0.009574828435713632,0.011599780974235118,44.98113717187495,8.781845169230769,33.58553538461538
3.7121179819204118,1.6753485154027692,3.0344450816568638,0.017415706062026956,-0.034672255192139234,42.81149396923075,8.1992325,32.76406461538462
3.8384022215295874,1.5375378155610255,2.872273795115635,0.012329247675096255,-0.0661880344405018,41.58817415384615,7.702011363636363,32.17760153846154
3.8282453637986626,1.619035136507813,3.0839261366469266,0.018190902428866867,-0.004888978573921505,37.502926818181706,6.970004119402985,32.23741384615385
3.7983367000187602,1.6881313655085224,3.2251858076727817,0.01543766365854852,0.0941037079777051,37.867552348484736,6.869900925373135,33.228541538461535
3.722733800892521,1.7714308433724557,3.357741647597677,0.0202088130640037,0.03755144812391318,38.604613030302914,7.137791205882353,32.511921538461536
3.7520946930811263,1.8550231873216718,3.3902625822358763,0.011162298331209755,-0.0007752931712399141,43.30735916666656,7.721722705882352,33.538639999999994
3.731538722137763,1.860557820597031,3.319818267204561,0.02635336791096446,0.07588225793596393,42.54993401515141,8.37126505882353,34.069799999999994
3.7270404637547956,1.8128050783238738,3.2429149232594328,0.022779226725747413,0.017062369110047132,52.851282954545376,8.674885720588236,33.685198461538455
3.6949532789392,1.8461435774136263,3.295160168175277,0.01611595101453592,0.015928874846637235,46.60083454545444,8.781753294117648,32.418978461538465
3.688447048792788,1.7644370746916591,3.1852134243180963,0.007605752391544316,-0.00022238098327193964,52.63607734848477,8.891976382352942,32.68472923076923
3.7029734730723503,1.6706287283799217,3.029467529221136,0.005575485481603022,0.0604054045072274,59.43849560606054,9.084764044117648,33.483401538461536
3.709115275341082,1.61882496671669,2.957893191487755,-0.001795835767468087,0.009099432714891763,59.41325946969691,9.146577220588236,33.131987692307696
